,Customer ID,Services,Individual Service Prices,Total Price Before Discount,Discount Type,Discount Amount,Final Price,Date,Time
0,200612,"'Haircut (Female)', 'Eyebrow Threading'","249, 74",323,,0.0,323.0,2024-03-31,02:02:46
1,300361,"'Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0.0,123.0,2024-01-03,13:02:08
2,100103,'Haircut (Male)',149,149,,0.0,149.0,2022-07-14,07:33:02
3,100676,'Eyebrow Threading',74,74,Membership Card,7.4,66.6,2022-08-19,07:18:16
4,100541,"'Beard Trimming', 'Deep Hydrating'","49, 649",698,,0.0,698.0,2023-09-28,06:55:13
5,100033,"'Haircut (Male)', 'Haircut (Male)'","149, 149",298,,0.0,298.0,2022-12-13,09:25:20
6,300763,"'Beard Trimming', 'Beard Trimming'","49, 49",98,,0.0,98.0,2022-12-03,12:35:46
7,200014,'Beard Trimming',49,49,,0.0,49.0,2023-09-21,03:05:44
8,100778,'Eyebrow Threading',74,74,,0.0,74.0,2024-01-30,07:33:26
9,200867,"'Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0.0,148.0,2022-06-27,20:11:50
10,100655,'Haircut (Male)',149,149,,0.0,149.0,2024-03-14,02:52:20
11,100486,"'Beard Trimming', 'Olive Hair Treatment'","49, 249",298,,0.0,298.0,2022-11-24,01:53:28
12,300509,'Haircut (Female)',249,249,Membership Card,24.9,224.1,2022-09-19,11:34:13
13,300939,"'Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0.0,148.0,2023-05-12,16:07:35
14,300520,'Haircut (Male)',149,149,,0.0,149.0,2023-01-31,21:23:09
15,100896,"'Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0.0,123.0,2022-11-10,08:22:44
16,100535,'Eyebrow Threading',74,74,,0.0,74.0,2024-04-05,22:24:49
17,200748,'Haircut (Male)',149,149,,0.0,149.0,2022-10-16,05:32:54
18,300186,"'Eyebrow Threading', 'Eyebrow Threading'","74, 74",148,,0.0,148.0,2023-03-12,06:04:35
19,100957,'Eyebrow Threading',74,74,,0.0,74.0,2023-12-28,16:13:22
20,100152,"'Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0.0,123.0,2023-11-13,00:59:30
21,100962,'Eyebrow Threading',74,74,,0.0,74.0,2024-03-17,11:13:06
22,200068,"'Beard Trimming', 'Eyebrow Threading'","49, 74",123,Membership Card,12.3,110.7,2024-01-31,07:12:54
23,100194,"'Haircut (Female)', 'Eyebrow Threading'","249, 74",323,,0.0,323.0,2023-06-23,18:21:09
24,200053,'Haircut (Female)',249,249,,0.0,249.0,2023-10-03,08:38:26
25,300953,'Haircut (Female)',249,249,,0.0,249.0,2023-05-15,06:55:07
26,300672,"'Beard Trimming', 'Manicure'","49, 239",288,,0.0,288.0,2023-04-04,15:49:09
27,200451,"'Haircut (Female)', 'De-tan'","249, 249",498,,0.0,498.0,2023-04-20,05:12:40
28,200904,'Beard Trimming',49,49,,0.0,49.0,2023-01-01,17:07:47
29,200945,'Haircut (Male)',149,149,,0.0,149.0,2023-01-18,04:23:01
30,100777,"'Beard Trimming', 'Eyebrow Threading'","49, 74",123,,0.0,123.0,2022-12-29,16:18:52
31,300288,'Eyebrow Threading',74,74,,0.0,74.0,2022-05-19,06:52:01
32,300322,"'Beard Trimming', 'Beard Trimming'","49, 49",98,,0.0,98.0,2024-03-03,17:32:43
33,100253,'Haircut (Female)',249,249,,0.0,249.0,2023-10-28,19:25:34
34,300147,'Haircut (Male)',149,149,,0.0,149.0,2023-01-16,08:05:59
35,300672,'Eyebrow Threading',74,74,,0.0,74.0,2022-11-20,10:22:43
36,100743,'Haircut (Female)',249,249,,0.0,249.0,2022-11-09,19:28:46
37,200732,'Haircut (Male)',149,149,,0.0,149.0,2022-10-27,11:53:01
38,200055,"'Haircut (Male)', 'Beard Trimming'","149, 49",198,Membership Card,19.8,178.2,2022-08-17,06:44:03
39,200363,'Eyebrow Threading',74,74,,0.0,74.0,2023-06-07,01:17:44
40,100837,"'Haircut (Female)', 'Full Body Massage'","249, 1359",1608,,0.0,1608.0,2023-07-03,23:34:43
41,200987,'Eyebrow Threading',74,74,,0.0,74.0,2022-11-24,06:11:55
42,300524,'Eyebrow Threading',74,74,,0.0,74.0,2023-02-18,05:37:52
43,200904,"'Eyebrow Threading', 'Lower Body Waxing'","74, 1399",1473,,0.0,1473.0,2022-11-14,02:56:21
